,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
0,Tides,= (Edition Française),2022-11-04,1,6mkZkeZ9YY11rPzdWgs9eA,spotify:track:6mkZkeZ9YY11rPzdWgs9eA,0.0167,0.631,0.825,0.0,0.122,-3.971,0.0433,129.942,0.427,27,195760
1,Shivers,= (Edition Française),2022-11-04,2,3vcgjaj7fi4TNUgvjDcQ7Z,spotify:track:3vcgjaj7fi4TNUgvjDcQ7Z,0.281,0.788,0.859,0.0,0.0424,-2.724,0.0856,141.02,0.822,28,207853
2,First Times,= (Edition Française),2022-11-04,3,553eAXr0YyVOyjbN7b7RBr,spotify:track:553eAXr0YyVOyjbN7b7RBr,0.84,0.587,0.267,0.0,0.121,-9.206,0.0349,98.845,0.352,27,185853
3,Bad Habits,= (Edition Française),2022-11-04,4,0usPAOYlfcAnDovyserJIQ,spotify:track:0usPAOYlfcAnDovyserJIQ,0.0451,0.807,0.893,2.79e-05,0.366,-3.745,0.0347,126.011,0.537,27,230746
4,Overpass Graffiti,= (Edition Française),2022-11-04,5,0QEjSDRbltabZ5rBpgypNm,spotify:track:0QEjSDRbltabZ5rBpgypNm,0.00253,0.52,0.849,0.0,0.119,-3.794,0.186,175.908,0.774,27,236906
5,The Joker And The Queen,= (Edition Française),2022-11-04,6,4pzsdznUmz85QLBJFBk4FK,spotify:track:4pzsdznUmz85QLBJFBk4FK,0.952,0.567,0.211,5.24e-05,0.275,-9.975,0.0315,134.019,0.289,25,185586
6,Leave Your Life,= (Edition Française),2022-11-04,7,5YxjgPAtEjLEoHFqTwTsgm,spotify:track:5YxjgPAtEjLEoHFqTwTsgm,0.236,0.578,0.558,0.0,0.143,-5.438,0.0872,75.087,0.54,25,223866
7,Collide,= (Edition Française),2022-11-04,8,4BxrlTbODIoqfuzXyUqA03,spotify:track:4BxrlTbODIoqfuzXyUqA03,0.113,0.672,0.73,0.0,0.0612,-4.77,0.0372,123.969,0.559,25,210213
8,2step,= (Edition Française),2022-11-04,9,6t0Hx7pDeLY6ibIwBpG8Wd,spotify:track:6t0Hx7pDeLY6ibIwBpG8Wd,0.169,0.763,0.661,0.0,0.117,-5.592,0.056,95.002,0.632,28,153626
9,Stop The Rain,= (Edition Française),2022-11-04,10,4uNlLYxu7rwls1RRozlLeA,spotify:track:4uNlLYxu7rwls1RRozlLeA,0.0122,0.686,0.765,0.0,0.127,-4.778,0.118,99.998,0.743,25,203493
10,Love In Slow Motion,= (Edition Française),2022-11-04,11,4O7vhBzB3qwLlRR3QFQ4Ek,spotify:track:4O7vhBzB3qwLlRR3QFQ4Ek,0.668,0.485,0.54,0.0,0.0849,-5.4,0.0253,62.631,0.426,24,190933
11,Visiting Hours,= (Edition Française),2022-11-04,12,7rpDvu5RD8LtSBEPwu6ABT,spotify:track:7rpDvu5RD8LtSBEPwu6ABT,0.77,0.471,0.396,0.0,0.0729,-6.654,0.0336,149.609,0.263,24,215506
12,Sandman,= (Edition Française),2022-11-04,13,64qAc4la1zr3JhO4CxQ7zT,spotify:track:64qAc4la1zr3JhO4CxQ7zT,0.882,0.822,0.3,9.15e-05,0.0665,-8.034,0.0673,125.951,0.734,23,259333
13,Be Right Now,= (Edition Française),2022-11-04,14,1m3aVjtiiTiLf74WgCsW3q,spotify:track:1m3aVjtiiTiLf74WgCsW3q,0.00494,0.501,0.684,0.000478,0.0524,-6.706,0.0566,131.952,0.442,23,211080
14,2step (feat. Leto),= (Edition Française),2022-11-04,15,7iX8Q9vlw3PM6A0BCRL8QY,spotify:track:7iX8Q9vlw3PM6A0BCRL8QY,0.273,0.73,0.701,0.0,0.0657,-5.318,0.0447,94.97,0.522,25,154453
15,Peru,= (Edition Française),2022-11-04,16,7dqyMpfmEBw2Z9AhR7Mqft,spotify:track:7dqyMpfmEBw2Z9AhR7Mqft,0.572,0.956,0.417,0.00071,0.0782,-7.892,0.0926,108.015,0.714,25,187111
16,Call On Me (feat. Ed Sheeran),= (Edition Française),2022-11-04,17,7b83mbbw9MWXzUbyIOzLCL,spotify:track:7b83mbbw9MWXzUbyIOzLCL,0.106,0.617,0.655,0.0,0.102,-3.24,0.0616,81.009,0.633,30,200706
17,Bam Bam (feat.Ed Sheeran),= (Edition Française),2022-11-04,18,3gmkly1uUq105VKnJZyp1n,spotify:track:3gmkly1uUq105VKnJZyp1n,0.182,0.756,0.697,0.0,0.333,-6.377,0.0401,94.996,0.956,25,206070
18,Tides,= (Tour Edition),2022-05-27,1,650PApG2YcEgoU7pO4u0Wu,spotify:track:650PApG2YcEgoU7pO4u0Wu,0.0167,0.631,0.825,0.0,0.122,-3.971,0.0433,129.942,0.427,23,195760
19,Shivers,= (Tour Edition),2022-05-27,2,2gT59yH6Tzlsj7CNKkwrCZ,spotify:track:2gT59yH6Tzlsj7CNKkwrCZ,0.281,0.788,0.859,0.0,0.0424,-2.724,0.0856,141.02,0.822,24,207853
20,First Times,= (Tour Edition),2022-05-27,3,3tNCcHNB8D9YnUqOLmvI7t,spotify:track:3tNCcHNB8D9YnUqOLmvI7t,0.84,0.587,0.267,0.0,0.121,-9.206,0.0349,98.845,0.352,22,185853
21,Bad Habits,= (Tour Edition),2022-05-27,4,1Pa75iYnneKHYvDsIIhQ6q,spotify:track:1Pa75iYnneKHYvDsIIhQ6q,0.0451,0.807,0.893,2.79e-05,0.366,-3.745,0.0347,126.011,0.537,23,230746
22,Overpass Graffiti,= (Tour Edition),2022-05-27,5,63sg6Dw4AitekQoMwDbNMh,spotify:track:63sg6Dw4AitekQoMwDbNMh,0.00253,0.52,0.849,0.0,0.119,-3.794,0.186,175.908,0.774,25,236906
